datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,temp_diff,year,month,day,hour,year_month,dayofweek
2011-01-01 00:00:00,1,0,0,1,9.84,14.395,81,0.0,3,13,16,-4.555,2011,1,1,0,2011-1,5
2011-01-01 01:00:00,1,0,0,1,9.02,13.635,80,0.0,8,32,40,-4.615,2011,1,1,1,2011-1,5
2011-01-01 02:00:00,1,0,0,1,9.02,13.635,80,0.0,5,27,32,-4.615,2011,1,1,2,2011-1,5
2011-01-01 03:00:00,1,0,0,1,9.84,14.395,75,0.0,3,10,13,-4.555,2011,1,1,3,2011-1,5
2011-01-01 04:00:00,1,0,0,1,9.84,14.395,75,0.0,0,1,1,-4.555,2011,1,1,4,2011-1,5
2011-01-01 05:00:00,1,0,0,2,9.84,12.88,75,6.0032,0,1,1,-3.040000000000001,2011,1,1,5,2011-1,5
2011-01-01 06:00:00,1,0,0,1,9.02,13.635,80,0.0,2,0,2,-4.615,2011,1,1,6,2011-1,5
2011-01-01 07:00:00,1,0,0,1,8.2,12.88,86,0.0,1,2,3,-4.6800000000000015,2011,1,1,7,2011-1,5
2011-01-01 08:00:00,1,0,0,1,9.84,14.395,75,0.0,1,7,8,-4.555,2011,1,1,8,2011-1,5
2011-01-01 09:00:00,1,0,0,1,13.12,17.425,76,0.0,8,6,14,-4.3050000000000015,2011,1,1,9,2011-1,5
2011-01-01 10:00:00,1,0,0,1,15.58,19.695,76,16.9979,12,24,36,-4.115,2011,1,1,10,2011-1,5
2011-01-01 11:00:00,1,0,0,1,14.76,16.665,81,19.0012,26,30,56,-1.9049999999999994,2011,1,1,11,2011-1,5
2011-01-01 12:00:00,1,0,0,1,17.22,21.21,77,19.0012,29,55,84,-3.990000000000002,2011,1,1,12,2011-1,5
2011-01-01 13:00:00,1,0,0,2,18.86,22.725,72,19.9995,47,47,94,-3.865000000000002,2011,1,1,13,2011-1,5
2011-01-01 14:00:00,1,0,0,2,18.86,22.725,72,19.0012,35,71,106,-3.865000000000002,2011,1,1,14,2011-1,5
2011-01-01 15:00:00,1,0,0,2,18.04,21.97,77,19.9995,40,70,110,-3.9299999999999997,2011,1,1,15,2011-1,5
2011-01-01 16:00:00,1,0,0,2,17.22,21.21,82,19.9995,41,52,93,-3.990000000000002,2011,1,1,16,2011-1,5
2011-01-01 17:00:00,1,0,0,2,18.04,21.97,82,19.0012,15,52,67,-3.9299999999999997,2011,1,1,17,2011-1,5
2011-01-01 18:00:00,1,0,0,3,17.22,21.21,88,16.9979,9,26,35,-3.990000000000002,2011,1,1,18,2011-1,5
2011-01-01 19:00:00,1,0,0,3,17.22,21.21,88,16.9979,6,31,37,-3.990000000000002,2011,1,1,19,2011-1,5
2011-01-01 20:00:00,1,0,0,2,16.4,20.455,87,16.9979,11,25,36,-4.055,2011,1,1,20,2011-1,5
2011-01-01 21:00:00,1,0,0,2,16.4,20.455,87,12.998,3,31,34,-4.055,2011,1,1,21,2011-1,5
2011-01-01 22:00:00,1,0,0,2,16.4,20.455,94,15.0013,11,17,28,-4.055,2011,1,1,22,2011-1,5
2011-01-01 23:00:00,1,0,0,2,18.86,22.725,88,19.9995,15,24,39,-3.865000000000002,2011,1,1,23,2011-1,5
2011-01-02 00:00:00,1,0,0,2,18.86,22.725,88,19.9995,4,13,17,-3.865000000000002,2011,1,2,0,2011-1,6
2011-01-02 01:00:00,1,0,0,2,18.04,21.97,94,16.9979,1,16,17,-3.9299999999999997,2011,1,2,1,2011-1,6
2011-01-02 02:00:00,1,0,0,2,17.22,21.21,100,19.0012,1,8,9,-3.990000000000002,2011,1,2,2,2011-1,6
2011-01-02 03:00:00,1,0,0,2,18.86,22.725,94,12.998,2,4,6,-3.865000000000002,2011,1,2,3,2011-1,6
2011-01-02 04:00:00,1,0,0,2,18.86,22.725,94,12.998,2,1,3,-3.865000000000002,2011,1,2,4,2011-1,6
2011-01-02 06:00:00,1,0,0,3,17.22,21.21,77,19.9995,0,2,2,-3.990000000000002,2011,1,2,6,2011-1,6
2011-01-02 07:00:00,1,0,0,2,16.4,20.455,76,12.998,0,1,1,-4.055,2011,1,2,7,2011-1,6
2011-01-02 08:00:00,1,0,0,3,16.4,20.455,71,15.0013,0,8,8,-4.055,2011,1,2,8,2011-1,6
2011-01-02 09:00:00,1,0,0,2,15.58,19.695,76,15.0013,1,19,20,-4.115,2011,1,2,9,2011-1,6
2011-01-02 10:00:00,1,0,0,2,14.76,17.425,81,15.0013,7,46,53,-2.665000000000001,2011,1,2,10,2011-1,6
2011-01-02 11:00:00,1,0,0,2,14.76,16.665,71,16.9979,16,54,70,-1.9049999999999994,2011,1,2,11,2011-1,6
2011-01-02 12:00:00,1,0,0,2,14.76,16.665,66,19.9995,20,73,93,-1.9049999999999994,2011,1,2,12,2011-1,6
2011-01-02 13:00:00,1,0,0,2,14.76,17.425,66,8.9981,11,64,75,-2.665000000000001,2011,1,2,13,2011-1,6
2011-01-02 14:00:00,1,0,0,3,14.76,17.425,76,12.998,4,55,59,-2.665000000000001,2011,1,2,14,2011-1,6
2011-01-02 15:00:00,1,0,0,3,13.94,16.665,81,11.0014,19,55,74,-2.7249999999999996,2011,1,2,15,2011-1,6
2011-01-02 16:00:00,1,0,0,3,13.94,16.665,71,11.0014,9,67,76,-2.7249999999999996,2011,1,2,16,2011-1,6
2011-01-02 17:00:00,1,0,0,1,13.94,16.665,57,12.998,7,58,65,-2.7249999999999996,2011,1,2,17,2011-1,6
2011-01-02 18:00:00,1,0,0,2,14.76,16.665,46,22.0028,10,43,53,-1.9049999999999994,2011,1,2,18,2011-1,6
2011-01-02 19:00:00,1,0,0,1,13.12,14.395,42,30.0026,1,29,30,-1.2750000000000004,2011,1,2,19,2011-1,6
2011-01-02 20:00:00,1,0,0,1,12.3,13.635,39,23.9994,5,17,22,-1.334999999999999,2011,1,2,20,2011-1,6
2011-01-02 21:00:00,1,0,0,1,10.66,11.365,44,22.0028,11,20,31,-0.7050000000000001,2011,1,2,21,2011-1,6
2011-01-02 22:00:00,1,0,0,1,9.84,10.605,44,19.9995,0,9,9,-0.7650000000000006,2011,1,2,22,2011-1,6
2011-01-02 23:00:00,1,0,0,1,9.02,11.365,47,11.0014,0,8,8,-2.3450000000000006,2011,1,2,23,2011-1,6
2011-01-03 00:00:00,1,0,1,1,9.02,9.85,44,23.9994,0,5,5,-0.8300000000000001,2011,1,3,0,2011-1,0
2011-01-03 01:00:00,1,0,1,1,8.2,8.335,44,27.9993,0,2,2,-0.13500000000000156,2011,1,3,1,2011-1,0
2011-01-03 04:00:00,1,0,1,1,6.56,6.82,47,26.0027,0,1,1,-0.2600000000000007,2011,1,3,4,2011-1,0
