datetime,count
2011-01-20 00:00:00,11.86
2011-01-20 01:00:00,5.44
2011-01-20 02:00:00,3.68
2011-01-20 03:00:00,3.62
2011-01-20 04:00:00,3.07
2011-01-20 05:00:00,5.29
2011-01-20 06:00:00,36.35
2011-01-20 07:00:00,87.94
2011-01-20 08:00:00,202.55
2011-01-20 09:00:00,121.76
2011-01-20 10:00:00,58.35
2011-01-20 11:00:00,60.42
2011-01-20 12:00:00,82.29
2011-01-20 13:00:00,69.96
2011-01-20 14:00:00,72.4
2011-01-20 15:00:00,77.82
2011-01-20 16:00:00,86.2
2011-01-20 17:00:00,196.42
2011-01-20 18:00:00,172.56
2011-01-20 19:00:00,101.65
2011-01-20 20:00:00,67.74
2011-01-20 21:00:00,47.48
2011-01-20 22:00:00,44.6
2011-01-20 23:00:00,22.11
2011-01-21 00:00:00,15.19
2011-01-21 01:00:00,6.69
2011-01-21 02:00:00,4.16
2011-01-21 03:00:00,2.68
2011-01-21 04:00:00,2.25
2011-01-21 05:00:00,3.83
2011-01-21 06:00:00,34.08
2011-01-21 07:00:00,87.65
2011-01-21 08:00:00,199.57
2011-01-21 09:00:00,125.89
2011-01-21 10:00:00,52.49
2011-01-21 11:00:00,63.11
2011-01-21 12:00:00,70.75
2011-01-21 13:00:00,69.24
2011-01-21 14:00:00,66.64
2011-01-21 15:00:00,64.43
2011-01-21 16:00:00,76.82
2011-01-21 17:00:00,152.78
2011-01-21 18:00:00,150.34
2011-01-21 19:00:00,102.95
2011-01-21 20:00:00,63.93
2011-01-21 21:00:00,43.19
2011-01-21 22:00:00,31.44
2011-01-21 23:00:00,20.36
2011-01-22 00:00:00,23.16
2011-01-22 01:00:00,16.23
2011-01-22 02:00:00,12.4
2011-01-22 03:00:00,8.0
2011-01-22 04:00:00,3.14
2011-01-22 06:00:00,4.85
2011-01-22 07:00:00,14.48
2011-01-22 08:00:00,20.15
2011-01-22 09:00:00,26.73
2011-01-22 10:00:00,50.93
2011-01-22 11:00:00,53.87
2011-01-22 12:00:00,72.5
2011-01-22 13:00:00,81.45
2011-01-22 14:00:00,76.38
2011-01-22 15:00:00,79.11
2011-01-22 16:00:00,78.94
2011-01-22 17:00:00,82.6
2011-01-22 18:00:00,61.66
2011-01-22 19:00:00,39.86
2011-01-22 20:00:00,42.34
2011-01-22 21:00:00,41.24
2011-01-22 22:00:00,27.84
2011-01-22 23:00:00,18.81
2011-01-23 00:00:00,27.05
2011-01-23 01:00:00,19.8
2011-01-23 02:00:00,13.91
2011-01-23 03:00:00,12.22
2011-01-23 05:00:00,2.85
2011-01-23 06:00:00,2.12
2011-01-23 07:00:00,10.18
2011-01-23 08:00:00,14.93
2011-01-23 09:00:00,23.42
2011-01-23 10:00:00,51.19
2011-01-23 11:00:00,56.01
2011-01-23 12:00:00,72.59
2011-01-23 13:00:00,70.57
2011-01-23 14:00:00,74.4
2011-01-23 15:00:00,74.98
2011-01-23 16:00:00,79.67
2011-01-23 17:00:00,71.77
2011-01-23 18:00:00,69.76
2011-01-23 19:00:00,46.41
2011-01-23 20:00:00,32.77
2011-01-23 21:00:00,35.2
2011-01-23 22:00:00,19.22
2011-01-23 23:00:00,13.22
2011-01-24 00:00:00,10.85
2011-01-24 01:00:00,4.15
2011-01-24 03:00:00,1.92
2011-01-24 04:00:00,2.32
2011-01-24 05:00:00,5.86
2011-01-24 06:00:00,31.75
2011-01-24 07:00:00,83.07
2011-01-24 08:00:00,180.16
2011-01-24 09:00:00,102.58
2011-01-24 10:00:00,49.55
2011-01-24 11:00:00,40.64
2011-01-24 12:00:00,51.58
2011-01-24 13:00:00,48.44
2011-01-24 14:00:00,45.83
2011-01-24 15:00:00,52.5
2011-01-24 16:00:00,66.94
2011-01-24 17:00:00,152.77
2011-01-24 18:00:00,149.59
2011-01-24 19:00:00,98.4
2011-01-24 20:00:00,64.02
2011-01-24 21:00:00,43.43
2011-01-24 22:00:00,23.98
2011-01-24 23:00:00,18.27
2011-01-25 00:00:00,8.71
2011-01-25 01:00:00,3.17
2011-01-25 02:00:00,1.9
2011-01-25 04:00:00,1.89
2011-01-25 05:00:00,5.07
2011-01-25 06:00:00,33.6
2011-01-25 07:00:00,79.0
2011-01-25 08:00:00,170.02
2011-01-25 09:00:00,112.27
2011-01-25 10:00:00,57.9
2011-01-25 11:00:00,60.13
2011-01-25 12:00:00,74.82
2011-01-25 13:00:00,75.21
2011-01-25 14:00:00,71.57
2011-01-25 15:00:00,72.6
2011-01-25 16:00:00,90.02
2011-01-25 17:00:00,198.15
2011-01-25 18:00:00,187.89
2011-01-25 19:00:00,112.76
2011-01-25 20:00:00,70.91
2011-01-25 21:00:00,47.91
2011-01-25 22:00:00,36.7
2011-01-25 23:00:00,18.32
